region,introduced,enacted
us congress,2068,0
dc,171,0
alabama,81,0
alaska,18,4
arizona,293,19
arkansas,7,0
california,367,85
colorado,12,7
connecticut,117,10
delaware,46,13
florida,444,0
georgia,116,2
hawaii,181,0
idaho,44,2
illinois,210,6
indiana,33,12
iowa,7,3
kansas,68,21
kentucky,194,2
louisiana,182,0
maine,56,9
maryland,114,8
massachusetts,194,10
michigan,415,14
minnesota,13,2
mississippi,532,10
missouri,70,5
montana,37,8
nebraska,20,3
nevada,7,2
new hampshire,27,4
new jersey,1225,5
new mexico,19,7
new york,1068,71
north carolina,40,3
north dakota,39,9
ohio,324,6
oklahoma,258,13
oregon,221,2
pennsylvania,107,0
rhode island,201,6
south carolina,203,9
south dakota,1,1
tennessee,351,10
texas,175,8
utah,55,12
vermont,22,0
virginia,44,2
washington,561,19
west virginia,114,6
wisconsin,17,2
wyoming,26,1
